ExperimentID,SampleID,AndroidVersion,Brand,Model,Avg_Lux,User_ID,Protocol_ID,Latitude,Longitude,Luminosity,Timestamp
37,607,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.441494,-8.3022924,6,04/05/2019 22:52
37,608,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414902,-8.3022772,6,04/05/2019 22:52
37,610,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414893,-8.3022471,15,04/05/2019 22:52
37,612,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.441487,-8.30223,21,04/05/2019 22:52
37,614,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.44148,-8.3021955,30,04/05/2019 22:52
37,615,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414741,-8.3021655,31,04/05/2019 22:52
37,619,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414673,-8.302136,28,04/05/2019 22:52
37,621,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414669,-8.3021125,0,04/05/2019 22:52
37,622,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414684,-8.3021023,1,04/05/2019 22:52
37,625,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414709,-8.3020927,11,04/05/2019 22:52
37,626,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414758,-8.3020745,3,04/05/2019 22:52
37,629,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414779,-8.3020621,7,04/05/2019 22:52
37,631,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414837,-8.3020387,13,04/05/2019 22:52
37,632,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414837,-8.3020387,13,04/05/2019 22:52
37,635,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414837,-8.3020387,7,04/05/2019 22:52
37,638,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414971,-8.3019413,20,04/05/2019 22:52
37,641,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4415003,-8.3019344,21,04/05/2019 22:52
37,643,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4415093,-8.3019207,27,04/05/2019 22:52
38,600,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4418599,-8.3041463,263,04/05/2019 22:52
38,602,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414974,-8.3023377,267,04/05/2019 22:52
38,605,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414364,-8.302294,235,04/05/2019 22:52
38,606,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.441431,-8.3023106,182,04/05/2019 22:52
38,609,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414323,-8.3023014,159,04/05/2019 22:52
38,611,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414282,-8.3022963,146,04/05/2019 22:52
38,613,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414289,-8.302291,18,04/05/2019 22:52
38,616,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414218,-8.3022741,10,04/05/2019 22:52
38,617,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414221,-8.3022683,5,04/05/2019 22:52
38,618,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.441487,-8.3023267,8,04/05/2019 22:52
38,620,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4415047,-8.30232,21,04/05/2019 22:52
38,623,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4415,-8.3022994,85,04/05/2019 22:52
38,624,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414851,-8.3022834,204,04/05/2019 22:52
38,627,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414821,-8.3022852,250,04/05/2019 22:52
38,628,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414747,-8.3022873,233,04/05/2019 22:52
38,630,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414822,-8.30223,211,04/05/2019 22:52
38,633,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414882,-8.3022288,189,04/05/2019 22:52
38,634,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414958,-8.3022257,166,04/05/2019 22:52
38,636,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414478,-8.3021594,85,04/05/2019 22:52
